Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.16422218,3214.8723,2729.6099,2692.8853,446.25037,False
0.18138684,2974.7861,2388.8425,2349.6523,430.9325,True
0.1384271,2533.1226,2384.694,2361.8828,329.05304,True
0.113235615,3496.4453,2679.1963,2662.038,302.73254,False
0.14977239,3540.4412,2742.5376,2711.8352,409.22247,False
0.14484775,3032.764,2864.2446,2834.2498,413.43015,False
0.08750149,4409.1255,3886.482,3871.613,339.63916,False
0.09295388,4138.495,3878.374,3861.6306,359.991,False
0.13391489,3869.4685,3469.868,3438.8018,463.27942,False
0.12204742,3351.5193,3213.3372,3189.4343,391.20657,False
0.1364868,3129.992,2760.0132,2734.3455,375.53687,False
0.22528331,3477.482,2399.1575,2338.533,535.9299,True
0.12585384,3752.747,3106.3357,3081.7676,389.9131,False
0.15848286,2709.8574,1923.0743,1898.9741,303.50012,False
0.09576677,4310.2993,3800.7822,3783.3665,363.4325,False
0.118755154,3239.7148,2919.7693,2899.2048,345.92322,False
0.14071882,3390.5537,3193.255,3161.691,447.8695,False
0.1290702,3653.525,3380.9106,3352.788,435.16418,False
0.14012359,3570.287,3372.9587,3339.8994,471.08594,False
0.12756917,4351.66,4163.7812,4129.947,529.7306,False
0.10694212,3217.4902,2577.6345,2562.909,275.13257,False
0.2483925,2727.4192,2457.987,2382.5486,604.28656,True
0.1541835,4280.214,3260.9504,3222.2666,500.79504,False
0.16601917,3135.0725,2992.32,2951.1768,494.50354,True
0.27681375,3114.6353,2583.1787,2484.84,705.96234,True
0.14900085,3565.0823,3149.6353,3114.737,467.56378,False
0.1712914,2922.3274,2035.476,2005.6877,346.95703,False
0.17484562,3619.3528,3262.6611,3212.9165,567.5598,True
0.17887765,2809.7036,2251.301,2215.3794,400.5633,False
0.1196318,4373.9106,3992.1943,3963.6606,476.455,False
0.37557063,2497.02,1366.7683,1271.5024,501.3353,True
0.093675405,4260.1777,3985.7,3968.2256,372.81628,False
0.16678226,2962.529,2717.208,2679.5042,451.08405,True
0.15263632,3209.9395,2847.2683,2814.1653,432.911,False
0.15702143,3199.2964,2834.5217,2799.65,443.25397,False
0.16458759,3545.2612,2613.7346,2578.4128,428.2487,False
0.08665926,3952.6018,3494.9033,3481.7886,302.48682,False
0.100204244,4396.7207,3983.2798,3963.2983,398.47388,False
0.17957243,2897.6357,2327.5256,2290.0994,415.7168,True
0.12593794,3444.6072,3137.9722,3113.1204,394.14594,False
0.14480361,2946.1768,2781.4856,2752.3752,401.3631,False
0.123282105,2097.9556,2002.2961,1987.0995,246.22247,True
0.15214579,2981.716,2715.4602,2684.0916,411.5537,False
0.1551757,2611.2002,2361.435,2333.061,364.9685,True
0.14138772,3005.093,2718.953,2691.8215,383.147,False
0.16314638,3245.337,2658.0955,2622.7988,431.73743,False
0.1042751,4140.1123,4042.9497,4020.9897,420.81543,False
0.14654267,2966.3074,2793.203,2763.265,407.85995,False
0.09517556,3510.1477,2937.033,2923.7407,279.11194,False
0.1427492,3340.727,3154.7146,3122.6267,448.8051,False
0.1425224,2986.4778,2501.5144,2476.1511,355.31607,False
0.105569854,4198.646,3381.5605,3362.7344,356.32812,False
0.11995492,3301.3975,3069.9048,3047.8445,367.36768,True
0.12699151,2900.813,2826.9917,2804.227,358.0398,False
0.17541265,3051.1506,2483.5627,2445.4517,433.41766,True
0.0909139,4244.927,3924.896,3908.6868,356.33624,False
0.128484,2783.8748,1966.337,1950.1292,251.9483,False
0.111467965,4458.76,4281.0977,4254.529,476.21765,False
0.11498312,2606.725,2010.9896,1997.7107,230.7207,False
0.14600094,3514.162,3143.039,3109.5999,457.25812,False
0.19872802,2199.9563,1778.755,1743.7463,351.16632,True
0.13570113,2847.4375,2352.0051,2330.3826,318.1911,False
0.15595847,2589.0906,2442.8538,2413.205,379.44116,True
0.15280461,2548.3835,2379.6274,2351.9004,362.20468,True
0.15464228,3017.806,2456.6682,2427.352,378.3924,False
0.111343235,3157.6428,2114.4575,2101.3643,234.9444,False
0.09021125,4306.437,3938.6328,3922.6174,354.82727,False
0.10964435,3936.299,3220.9075,3201.5662,352.44714,False
0.21064349,2400.7292,2156.8345,2109.161,450.97076,True
0.08194876,4201.094,3881.9243,3868.8972,317.76297,False
0.1806979,2676.241,1885.5443,1854.8448,338.8628,True
