Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.17196402,2495.7512,2215.4792,2182.8022,379.1078,True
0.124336064,3866.4565,3212.439,3187.6396,398.39368,False
0.11633445,2853.9468,2089.689,2075.5645,242.55487,False
0.09211569,4362.3467,3913.5903,3896.998,359.99347,False
0.13823563,2856.7278,2685.864,2660.2424,370.10074,False
0.1765335,2903.7837,2255.151,2220.102,396.0451,False
0.14304036,2834.4229,2608.3687,2581.73,371.831,False
0.16636263,2926.8228,2684.2158,2647.1565,444.49622,True
0.13494837,2925.0151,2540.429,2517.332,341.78717,False
0.15567993,3026.1682,2566.996,2535.9517,398.01746,False
0.14233114,2881.289,2013.2081,1992.8506,285.5757,False
0.18001354,2964.1614,2402.2898,2363.472,430.1129,True
0.13476807,2754.7239,2545.7942,2522.7102,342.05414,False
0.09362185,3650.1052,3097.7578,3084.192,289.59436,False
0.10297907,3780.9822,3230.465,3213.351,332.0826,False
0.10593847,4468.4565,4356.821,4332.3955,460.6921,False
0.09670726,3639.8323,3252.4631,3237.2659,314.04675,False
0.16275279,3494.9548,3203.6035,3161.2678,519.0966,True
0.10910306,3561.1345,2805.2444,2788.565,305.45392,False
0.13011068,4430.4775,4289.524,4253.267,556.53955,False
0.12863299,3494.4617,3319.1626,3291.7405,425.7774,False
0.097985834,4090.4578,3699.6997,3681.953,361.93832,False
0.17972809,3328.0576,3001.3748,2953.0298,536.5319,True
0.13751075,2934.175,2713.1753,2687.5637,371.91608,False
0.12956066,3896.7092,3345.7876,3317.7454,432.2707,False
0.09376329,4265.6367,3982.3672,3964.8745,372.85297,False
0.15840219,2922.1938,2799.0806,2764.0376,441.52863,True
0.12642874,2669.1003,2257.254,2239.2378,284.62213,False
0.12895961,3444.337,3257.1655,3230.119,418.87952,False
0.16470788,3413.802,2100.9043,2072.4712,344.47302,False
0.17695023,2852.9387,2378.5925,2341.4512,418.6995,True
0.1581986,3741.6956,3368.4646,3326.4016,530.66644,False
0.103150904,3749.8652,3351.4788,3333.6646,345.09534,False
0.09595367,4347.319,4097.6094,4078.7603,392.5776,False
0.13331032,3206.5227,2920.7576,2894.8425,388.21484,False
0.15585813,3059.725,2850.9414,2816.3843,442.54562,True
0.059349976,4003.759,3374.1357,3368.1948,200.13733,False
0.12877454,3025.4453,2346.6013,2327.1716,301.34802,False
0.11603859,3013.619,2803.6243,2784.77,324.599,False
0.15420486,2674.3271,1891.3632,1868.9202,290.50287,False
0.17443493,3234.1606,3042.5032,2996.3323,528.0315,True
0.12739491,3021.6213,2035.9963,2019.4971,258.67456,False
0.11493095,3290.6829,3253.9583,3232.4907,373.1577,False
0.15930659,3637.8564,3018.7175,2980.493,478.87006,True
0.15748547,2900.292,1982.9504,1958.411,310.9966,False
