DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
4468.456543,0.083454,4356.820801,4332.395508,-460.692108,-6.467960,275.603546,275.603546,NO,NO,0.009676,184.588806,-1.967196
4386.393555,0.108772,4097.920898,4078.104736,-402.514587,13.378288,785.618530,785.618530,NO,NO,0.003614,-101.314201,-3.615060
4373.910645,0.075545,3992.194336,3963.660645,-476.454987,-40.032116,121.144547,121.144547,NO,NO,0.006900,253.818695,-10.365276
4458.759766,0.073217,4281.097656,4254.528809,-476.217651,-17.632114,209.958313,209.958313,NO,NO,0.010061,226.806992,-0.965482
4312.871582,-0.078380,4188.665527,4161.783203,473.796753,-47.657806,-32.416180,32.416180,NO,NO,0.010862,260.267548,4.801065
3540.441162,0.591255,2742.537598,2711.835205,-409.222473,1.810074,407.380127,407.380127,NO,NO,0.262901,256.979187,-10.653442
3179.423584,0.531977,2730.591797,2696.065186,-432.856567,1.300385,474.331726,474.331726,NO,YES,0.725324,255.148834,-4.164742
2589.090576,0.248891,2442.853760,2413.205078,379.441162,27.801422,-728.375183,728.375183,YES,YES,0.906542,-110.070175,29.531322
2824.384033,0.421536,2758.049316,2729.272949,397.372925,28.677734,-740.312988,740.312988,YES,YES,0.788778,-105.040138,-57.545471
2741.010498,0.283619,2657.089111,2630.141846,377.460632,24.789474,-725.812988,725.812988,NO,YES,0.774249,-85.486725,-57.209793
3126.303955,-0.149392,2858.663818,2829.848389,404.864868,18.196190,-769.157166,769.157166,NO,YES,0.545940,-125.347725,73.018349
2962.529053,0.079220,2717.208008,2679.504150,-451.084045,20.818211,840.201782,840.201782,YES,YES,0.913522,-102.651321,-9.147954
2886.935059,0.110986,2636.638428,2601.181885,-430.947632,21.060074,794.719299,794.719299,NO,YES,0.903804,-95.135475,-88.273994
2941.298096,0.135510,2760.550537,2728.362793,-420.327484,20.929955,790.093567,790.093567,NO,YES,0.815874,-115.985222,-6.338765
2856.674561,0.142020,2628.356201,2594.852295,-418.328217,18.402420,818.231689,818.231689,NO,YES,0.881124,265.435028,-6.092800
3777.271484,-0.552269,3285.480957,3251.589600,470.690796,8.424194,-848.791077,848.791077,NO,NO,0.166421,-60.548180,229.283127
4007.301758,-0.492788,3683.793213,3660.166260,416.551758,6.166138,-839.858765,839.858765,NO,NO,0.004199,226.868301,4.991852
3245.336914,-0.629708,2658.095459,2622.798828,431.737427,6.801147,-853.327271,853.327271,NO,YES,0.695429,224.191849,3.766861
2621.340576,-0.350947,1826.496826,1817.831543,-177.704468,10.186874,496.669250,496.669250,NO,NO,0.074787,-119.428345,-16.921749
2796.569824,-0.491095,2434.152344,2368.543213,561.337402,-1.430527,-480.656067,480.656067,YES,YES,0.999304,-106.847687,-1.650089
