DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,*ForTrain*
3866.456543,-0.537241,3212.438965,3187.639648,398.393677,5.634888,-841.631592,841.631592,NO,NO,0.094684,
3906.325195,-0.62117,3079.848633,3056.875244,375.475708,7.310577,-731.232727,731.232727,NO,NO,0.101537,
3432.762939,-0.509482,2947.341553,2920.334717,398.078064,5.350769,-795.493225,795.493225,NO,NO,0.162069,
4254.694336,-0.59251,3857.884033,3844.398926,322.28479,-16.830742,-241.737305,241.737305,NO,NO,0.045055,
3892.137451,-0.392899,3481.526367,3448.638916,477.405579,6.259995,-693.161194,693.161194,NO,NO,0.072623,
2557.107666,-0.659136,2201.844482,2172.973389,355.39563,-4.605499,-826.049927,826.049927,NO,YES,0.964408,
3416.723389,-0.662421,2284.839844,2269.839844,261.381592,4.226883,-350.496521,350.496521,NO,NO,0.262222,
2873.422607,-0.76786,2311.439697,2293.519043,287.267944,-19.20372,-299.763611,299.763611,NO,YES,0.812386,
3612.776855,-0.739627,2664.640137,2644.722412,325.192383,-3.402252,-766.74231,766.74231,NO,NO,0.165545,
3650.105225,-0.746343,3097.757812,3084.191895,289.59436,-18.251488,-178.827225,178.827225,NO,NO,0.127796,
3239.714844,-0.420434,2919.769287,2899.204834,-345.923218,-13.710007,172.078217,172.078217,NO,NO,0.293674,
3639.832275,-0.303343,3252.463135,3237.265869,314.046753,4.068542,-672.479614,672.479614,NO,NO,0.114384,
2788.695801,-0.876529,2102.043213,2083.054688,281.903137,-1.460754,-746.119446,746.119446,NO,YES,0.893069,
3210.798096,-0.946836,2567.471436,2556.812012,233.713501,-3.356689,-677.018005,677.018005,NO,NO,0.341058,
3229.39502,-0.55512,3126.838135,3108.812988,-335.259888,-55.370483,21.968666,21.968666,NO,NO,0.269359,
3545.26123,-0.230504,2613.734619,2578.412842,428.248688,5.128494,-464.122498,464.122498,NO,NO,0.173233,
3484.468262,-0.160681,2586.197021,2564.103027,337.327393,13.107719,-613.019287,613.019287,NO,NO,0.197194,
3197.276611,-0.803332,2607.12915,2592.508789,275.720581,-6.338272,-322.696594,322.696594,NO,NO,0.342274,
3690.732666,-0.675259,2988.62207,2966.302246,364.573608,5.112152,-778.747314,778.747314,NO,NO,0.126277,
3510.147705,-0.603439,2937.032959,2923.740723,279.111938,2.436432,-591.409973,591.409973,NO,NO,0.159477,
3525.698975,-0.672506,2789.824707,2766.599609,359.233643,4.516327,-774.741455,774.741455,NO,NO,0.164538,
3653.524902,-0.574678,3380.910645,3352.788086,435.164185,6.197723,-606.744995,606.744995,NO,NO,0.09434,
3217.490234,-0.650796,2577.634521,2562.908936,275.132568,1.338593,-556.435547,556.435547,NO,NO,0.332302,
2841.177734,-0.91152,1965.59021,1949.924072,247.670837,-6.112289,-326.375641,326.375641,NO,YES,0.869777,
2177.928711,-0.556945,1529.732178,1514.345703,-216.4198,27.354004,486.326782,486.326782,YES,YES,0.992757,
2400.729248,-0.519513,2156.834473,2109.160889,450.970764,-3.230225,-469.298523,469.298523,YES,YES,0.982756,
3125.80957,-0.461298,2489.867188,2450.052246,443.488831,4.169067,-515.922241,515.922241,YES,NO,0.460908,
2564.222656,-0.580956,2442.426514,2419.290527,-335.381958,0.368237,97.730621,97.730621,YES,YES,0.93524,
2097.887207,-0.559748,1314.822754,1292.681152,-240.279541,13.569305,290.467072,290.467072,YES,YES,0.993671,
3077.575928,-0.452096,2760.460693,2716.48584,490.761902,2.871323,-478.244415,478.244415,YES,NO,0.480612,
2480.328857,-0.545404,1694.076172,1672.595093,-268.923096,21.963989,297.989258,297.989258,YES,YES,0.975467,
