DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
4466.208008,0.082336,3647.274902,3632.188965,-331.387024,1.099236,497.844299,497.844299,NO,NO,0.000123,224.059280,-2.133965
4367.779785,-0.060963,3453.698975,3433.855957,369.688171,-24.969479,-75.233627,75.233627,NO,NO,0.000513,253.684067,8.756849
4385.872559,0.064349,4205.984375,4186.832031,-400.924988,-22.988468,-16.051542,-16.051542,NO,NO,0.000283,255.288925,-8.010921
4393.962891,0.090624,4141.727539,4127.208984,-346.489990,12.386295,708.411499,708.411499,NO,NO,0.000086,-98.429077,-1.208627
4458.283691,0.066903,4134.546387,4119.793945,-348.953400,16.863995,672.689026,672.689026,NO,NO,0.000088,9.117240,1.543717
4309.250977,0.080973,3932.137451,3916.985107,-344.866730,13.568455,717.321289,717.321289,NO,NO,0.000119,223.600525,-0.579453
4162.927734,-0.051995,3763.544922,3743.085693,391.894165,-72.985207,18.945011,-18.945011,NO,NO,0.000557,256.330597,7.410151
4303.356445,-0.075547,3538.156738,3519.509766,362.775238,-34.644867,-83.452866,83.452866,NO,NO,0.000374,257.057373,5.930615
4323.881836,-0.067673,3526.086182,3509.447510,342.144226,10.652195,-721.420349,721.420349,NO,NO,0.000220,-94.809097,14.150061
4328.533691,0.092401,3540.993164,3527.010010,-314.376801,7.265583,78.407310,78.407310,NO,NO,0.000103,32.398174,83.748749
4385.336914,0.067678,3598.259766,3578.611328,-375.517456,-3.390043,203.495544,203.495544,NO,NO,0.000442,187.201462,-0.720231
4310.248047,0.072335,3696.241455,3676.753174,-379.059845,-2.051370,90.855972,90.855972,NO,NO,0.000419,183.597778,-3.020063
3533.589355,0.596682,3141.160889,3122.056396,-345.912598,-34.023392,-128.450241,-128.450241,YES,NO,0.001528,-119.727203,-75.713097
3093.111084,0.474277,2882.002686,2858.622803,366.355225,24.677887,-683.445984,683.445984,NO,NO,0.025163,-108.301620,66.453720
3499.905762,0.495179,3009.516846,2989.659668,-345.148804,15.092102,761.873962,761.873962,NO,NO,0.002320,222.544861,-7.260674
4111.627930,0.505881,3583.526367,3566.476074,-349.157471,3.803833,525.370667,525.370667,NO,NO,0.000269,259.344299,-2.896111
3283.442383,0.643654,2663.946533,2629.437256,-427.400757,3.177673,667.891113,667.891113,NO,YES,0.542390,260.439148,-3.041122
2978.662598,0.674933,2502.453125,2462.861572,-443.378113,-2.912689,578.309692,578.309692,NO,YES,0.890377,251.611618,-2.934303
2433.935547,0.491583,2336.544678,2312.302246,335.707825,31.769836,-634.414551,634.414551,YES,YES,0.820428,-118.208168,53.704262
2819.103760,0.587189,2503.471680,2471.765625,-397.169983,6.137665,817.980713,817.980713,NO,YES,0.696332,258.303467,-5.522041
3292.487305,0.615865,2786.223877,2754.034180,-422.300964,7.032501,839.500732,839.500732,NO,NO,0.292569,257.869690,-3.232620
2966.982422,0.355840,2702.710449,2681.462646,338.233826,28.720795,-662.636475,662.636475,NO,NO,0.022246,-119.061371,41.629517
3244.805908,0.565590,2713.150391,2690.074219,-353.109619,20.327423,302.925018,302.925018,NO,NO,0.017652,257.296112,-9.322090
